iter	Passed	Remaining
157	192	1026
158	197	1042
159	198	1044
160	199	1041
161	200	1038
162	201	1035
163	202	1032
164	204	1036
165	206	1034
166	207	1033
167	208	1031
168	209	1029
169	210	1028
170	211	1025
171	212	1022
172	213	1020
173	214	1017
174	215	1014
175	216	1011
176	216	1008
177	217	1006
178	219	1005
179	220	1003
180	221	1000
181	221	997
182	222	994
183	223	992
184	224	989
185	225	986
186	226	984
187	227	982
188	228	979
189	229	977
190	230	974
191	230	972
192	231	969
193	232	967
194	233	964
195	237	973
196	238	971
197	239	968
198	240	966
199	240	963
200	241	961
201	242	958
202	243	956
203	244	954
204	245	951
205	246	949
206	247	946
207	248	944
208	249	943
209	252	950
210	253	948
211	254	947
212	255	945
213	256	943
214	257	941
215	318	1154
216	319	1151
217	320	1148
218	321	1146
219	322	1143
220	323	1140
221	324	1137
222	325	1134
223	326	1131
224	327	1129
225	328	1126
226	329	1123
227	330	1120
228	334	1124
229	335	1121
230	336	1119
231	337	1116
232	338	1113
233	339	1111
234	340	1108
235	341	1105
236	342	1103
237	343	1100
238	344	1098
239	346	1095
240	348	1097
241	349	1094
242	352	1097
243	353	1095
244	354	1093
245	356	1091
246	357	1088
247	358	1086
248	359	1084
249	361	1083
250	362	1081
251	363	1079
252	364	1076
253	365	1074
254	366	1072
255	368	1069
256	369	1067
257	370	1065
258	371	1063
259	372	1061
260	373	1058
261	375	1056
262	378	1059
263	379	1056
264	380	1054
265	381	1052
266	382	1049
267	383	1047
268	384	1044
269	385	1042
270	386	1040
271	387	1037
272	388	1035
273	389	1032
274	396	1046
275	397	1043
276	398	1041
277	400	1038
278	401	1036
279	402	1034
280	403	1031
281	404	1029
282	405	1026
283	406	1024
284	408	1024
285	409	1022
286	410	1020
287	411	1017
288	412	1015
289	413	1013
290	414	1010
291	415	1008
292	416	1005
293	417	1003
294	419	1001
295	420	999
296	422	999
297	427	1006
298	428	1003
299	429	1001
300	430	999
301	431	996
302	432	994
303	433	992
304	434	990
305	435	987
306	436	985
307	437	983
308	441	987
309	442	985
310	444	984
311	445	982
312	446	980
313	447	978
314	448	976
315	449	974
316	450	971
317	451	969
318	452	966
319	453	964
320	455	964
321	456	961
322	457	959
323	458	956
324	459	954
325	460	951
326	461	949
327	462	946
328	463	944
329	463	941
330	464	939
331	465	936
332	466	934
333	467	932
334	468	930
335	469	927
336	471	927
337	472	925
338	473	923
339	474	920
340	475	918
341	476	916
342	477	913
343	477	911
344	478	909
345	479	906
346	480	904
347	481	901
348	482	899
349	483	897
350	484	895
351	486	895
352	487	894
353	490	894
354	491	893
355	492	890
356	493	888
357	494	886
358	495	884
359	496	881
360	496	879
361	497	877
362	498	875
363	499	872
364	501	872
365	502	870
366	503	868
367	504	866
368	505	863
369	506	861
370	506	859
371	507	857
372	508	855
373	509	852
374	510	850
375	511	848
376	512	846
377	513	844
378	514	842
379	515	840
380	516	838
381	517	837
382	518	835
383	519	834
384	521	833
385	523	831
386	523	829
387	524	827
388	525	825
389	526	823
390	527	821
391	528	819
392	529	817
393	530	815
394	531	813
395	533	814
396	535	813
397	536	811
398	537	809
399	538	807
400	539	805
401	540	803
402	540	801
403	541	799
404	542	797
405	543	795
406	544	793
407	545	791
408	546	789
409	549	790
410	550	788
411	551	786
412	551	784
413	552	782
414	553	780
415	554	778
416	555	776
417	556	774
418	557	772
419	558	770
420	559	768
421	559	766
422	560	764
423	561	762
424	564	763
425	565	762
426	566	760
427	567	758
428	568	756
429	569	754
430	570	752
431	571	750
432	572	749
433	572	747
434	573	745
435	574	743
436	575	741
437	576	739
438	577	737
439	579	737
440	581	736
441	584	737
442	585	735
443	586	733
444	586	732
445	587	730
446	588	728
447	589	726
448	590	724
449	591	722
450	592	720
451	593	719
452	596	720
453	597	719
454	599	717
455	600	715
456	601	714
457	602	712
458	603	710
459	604	709
460	605	707
461	606	706
462	607	704
463	608	702
464	611	703
465	612	702
466	613	700
467	614	698
468	615	696
469	616	695
470	617	693
471	618	691
472	618	689
473	619	687
474	620	686
475	621	684
476	622	682
477	623	680
478	624	679
479	627	679
480	628	678
481	629	676
482	630	675
483	631	673
484	632	671
485	633	669
486	634	668
487	635	666
488	636	664
489	636	662
490	637	661
491	638	659
492	639	657
493	641	657
494	643	656
495	644	654
496	645	653
497	646	651
498	647	649
499	648	648
500	649	646
501	649	644
502	650	643
503	651	641
504	652	639
505	653	637
506	654	636
507	655	634
508	657	634
509	659	633
510	659	631
511	660	629
512	661	628
513	662	626
514	663	625
515	664	623
516	665	621
517	666	620
518	667	618
519	668	616
520	669	615
521	669	613
522	670	611
523	674	612
524	675	610
525	676	609
526	677	607
527	677	606
528	678	604
529	679	602
530	680	601
531	681	599
532	682	597
533	683	596
534	684	594
535	685	593
536	685	591
537	686	589
538	689	589
539	693	590
540	694	589
541	695	587
542	696	586
543	697	584
544	698	583
545	699	581
546	700	579
547	701	578
548	702	576
549	704	576
550	705	575
551	706	573
552	707	572
553	708	570
554	709	568
555	710	567
556	711	565
557	711	563
558	712	562
559	713	560
560	714	559
561	715	557
562	716	556
563	717	554
564	718	552
565	719	551
566	720	550
567	721	548
568	722	547
569	723	545
570	724	544
571	725	542
572	725	540
573	726	539
574	727	537
575	728	536
576	729	534
577	730	533
578	731	531
579	732	530
580	735	530
581	736	528
582	736	527
583	737	525
584	738	524
585	739	522
586	740	521
587	741	519
588	742	517
589	743	516
590	744	514
591	744	513
592	745	511
593	746	510
594	747	508
595	751	509
596	752	508
597	753	506
598	754	505
599	755	503
600	756	502
601	757	500
602	758	499
603	758	497
604	759	496
605	760	494
606	761	493
607	762	491
608	763	490
609	764	489
610	765	487
611	766	486
612	767	484
613	768	483
614	769	481
615	770	480
616	771	478
617	772	477
618	773	475
619	773	474
620	774	472
621	775	471
622	776	469
623	777	468
624	779	467
625	781	466
626	784	466
627	785	465
628	786	463
629	786	462
630	787	460
631	788	459
632	789	457
633	790	456
634	791	454
635	792	453
636	793	451
637	796	451
638	797	450
639	797	448
640	798	447
641	799	445
642	800	444
643	801	443
644	802	441
645	803	440
646	804	438
647	804	437
648	805	435
649	806	434
650	807	432
651	808	431
652	811	431
653	813	430
654	814	428
655	815	427
656	815	425
657	816	424
658	817	423
659	818	421
660	819	420
661	820	418
662	821	417
663	822	416
664	823	414
665	823	413
666	826	412
667	827	411
668	828	409
669	829	408
670	830	407
671	831	405
672	832	404
673	832	402
674	833	401
675	834	400
676	835	398
677	836	397
678	837	395
679	838	394
680	839	393
681	841	392
682	843	391
683	846	390
684	847	389
685	849	388
686	850	387
687	851	385
688	852	384
689	853	383
690	854	382
691	855	380
692	858	380
693	859	378
694	860	377
695	861	376
696	862	374
697	863	373
698	864	372
699	865	371
700	866	369
701	867	368
702	868	367
703	869	365
704	871	364
705	874	364
706	875	362
707	876	361
708	877	360
709	878	358
710	879	357
711	880	356
712	881	354
713	882	353
714	882	351
715	883	350
716	884	349
717	885	347
718	886	346
719	888	345
720	890	344
721	893	344
722	894	342
723	895	341
724	896	339
725	897	338
726	898	337
727	898	335
728	899	334
729	900	333
730	901	331
731	902	330
732	905	329
733	906	328
734	907	327
735	908	325
736	909	324
737	909	323
738	910	321
739	911	320
740	912	318
741	913	317
742	914	316
743	915	314
744	916	313
745	917	312
746	917	310
747	920	310
748	921	308
749	922	307
750	923	306
751	924	304
752	925	303
753	926	302
754	927	300
755	928	299
756	929	298
757	929	296
758	930	295
759	931	294
760	932	292
761	933	291
762	936	290
763	937	289
764	938	288
765	939	286
766	940	285
767	941	284
768	942	282
769	942	281
770	943	280
771	944	279
772	945	277
773	946	276
774	947	275
775	948	273
776	949	272
777	952	271
778	953	270
779	954	269
780	955	268
781	956	266
782	957	265
783	958	264
784	960	262
785	961	261
786	962	260
787	963	259
788	964	257
789	967	257
790	968	255
791	969	254
792	970	253
793	971	252
794	972	250
795	973	249
796	974	248
797	975	247
798	977	245
799	978	244
800	979	243
801	980	242
802	1084	265
803	1085	264
804	1086	263
805	1087	261
806	1088	260
807	1089	258
808	1090	257
809	1092	256
810	1093	254
811	1094	253
812	1095	251
813	1100	251
814	1102	250
815	1103	248
816	1104	247
817	1105	246
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1111	238
823	1113	237
824	1114	236
825	1116	235
826	1117	233
827	1118	232
828	1119	230
829	1120	229
830	1121	228
831	1122	226
832	1123	225
833	1124	223
834	1125	222
835	1138	223
836	1139	221
837	1140	220
838	1141	219
839	1142	217
840	1145	216
841	1146	215
842	1147	213
843	1148	212
844	1149	210
845	1149	209
846	1150	207
847	1151	206
848	1152	205
849	1153	203
850	1154	202
851	1155	200
852	1156	199
853	1157	197
854	1157	196
855	1160	195
856	1161	193
857	1162	192
858	1163	190
859	1164	189
860	1165	188
861	1165	186
862	1166	185
863	1167	183
864	1168	182
865	1169	180
866	1170	179
867	1171	178
868	1172	176
869	1173	175
870	1173	173
871	1177	172
872	1177	171
873	1178	169
874	1179	168
875	1180	167
876	1181	165
877	1182	164
878	1183	162
879	1184	161
880	1184	160
881	1185	158
882	1186	157
883	1187	155
884	1188	154
885	1189	153
886	1191	151
887	1193	150
888	1198	149
889	1199	148
890	1200	146
891	1200	145
892	1201	143
893	1202	142
894	1203	141
895	1204	139
896	1205	138
897	1208	137
898	1209	135
899	1209	134
900	1210	133
901	1211	131
902	1212	130
903	1213	128
904	1214	127
905	1215	126
906	1216	124
907	1217	123
908	1217	121
909	1218	120
910	1219	119
911	1220	117
912	1223	116
913	1224	115
914	1225	113
915	1226	112
916	1227	111
917	1228	109
918	1228	108
919	1229	106
920	1230	105
921	1231	104
922	1232	102
923	1233	101
924	1234	100
925	1235	98
926	1236	97
927	1238	96
928	1239	94
929	1240	93
930	1241	92
931	1242	90
932	1243	89
933	1244	87
934	1245	86
935	1246	85
936	1247	83
937	1247	82
938	1248	81
939	1249	79
940	1250	78
941	1251	77
942	1254	75
943	1255	74
944	1256	73
945	1257	71
946	1258	70
947	1259	69
948	1260	67
949	1261	66
950	1262	65
951	1263	63
952	1263	62
953	1264	60
954	1265	59
955	1266	58
956	1267	56
957	1270	55
958	1271	54
959	1272	53
960	1273	51
961	1274	50
962	1274	48
963	1275	47
964	1276	46
965	1277	44
966	1278	43
967	1279	42
968	1280	40
969	1281	39
970	1282	38
971	1283	36
972	1285	35
973	1287	34
974	1289	33
975	1290	31
976	1291	30
977	1292	29
978	1293	27
979	1294	26
980	1295	25
981	1296	23
982	1297	22
983	1298	21
984	1300	19
985	1301	18
986	1302	17
987	1303	15
988	1304	14
989	1305	13
990	1306	11
991	1307	10
992	1308	9
993	1309	7
994	1310	6
995	1310	5
996	1311	3
997	1312	2
998	1313	1
999	1316	0
