iter	RMSE
192	2181926.109
193	2179494.898
194	2176870.258
195	2173616.774
196	2169357.024
197	2166448.238
198	2164271.341
199	2161280.771
200	2156813
201	2154398.944
202	2149825.732
203	2147637.294
204	2145003.002
205	2142457.198
206	2139512.377
207	2136722.938
208	2134376.43
209	2129912.394
210	2125885.857
211	2123227.24
212	2121431.898
213	2118865.386
214	2117200.694
215	2113394.894
216	2111465.665
217	2108463.929
218	2105068.958
219	2103945.408
220	2100645.749
221	2098922.465
222	2096772.426
223	2093009.485
224	2089293.916
225	2086478.612
226	2083451.416
227	2081873.481
228	2078270.522
229	2076054.009
230	2074005.196
231	2072252.247
232	2070127.284
233	2066741.927
234	2064052.058
235	2062699.551
236	2060714.211
237	2057280.446
238	2056037.83
239	2053271.232
240	2051777.434
241	2048621.623
242	2046269.122
243	2043627.079
244	2040594.942
245	2038762.51
246	2037599.168
247	2035174.183
248	2032207.103
249	2030177.351
250	2029229.251
251	2026344.173
252	2025110.928
253	2023248.514
254	2020127.424
255	2017371.753
256	2015878.26
257	2014080.447
258	2011735.203
259	2009288.563
260	2006850.233
261	2005621.537
262	2004689.784
263	2002870.675
264	2000062.782
265	1997322.737
266	1996014.822
267	1993429.803
268	1990810.194
269	1988006.081
270	1986919.096
271	1986134.193
272	1984023.211
273	1982896.114
274	1980740.891
275	1979155.287
276	1976875.07
277	1975099.761
278	1971618.522
279	1969607.011
280	1966956.424
281	1964878.38
282	1962472.497
283	1960868.872
284	1959746.444
285	1958110.87
286	1956366.815
287	1954002.709
288	1952427.063
289	1949571.156
290	1947923.025
291	1946816.712
292	1945051.547
293	1942567.753
294	1940259.487
295	1938031.717
296	1937158.681
297	1934489.87
298	1933891.454
299	1930434.232
300	1929592.124
301	1927821.55
302	1927373.05
303	1925911.677
304	1924595.436
305	1923060.223
306	1921787.897
307	1921049.854
308	1919468.304
309	1918639.866
310	1917124.497
311	1915531.27
312	1913146.579
313	1912137.886
314	1908993.644
315	1906126.226
316	1904773.509
317	1902649.098
318	1901235.569
319	1899821.816
320	1897788.179
321	1896629.361
322	1895120.159
323	1894224.874
324	1893158.189
325	1892096.38
326	1890635.383
327	1887357.087
328	1886840.107
329	1886231.284
330	1885343.265
331	1883813.375
332	1880678.117
333	1876783.393
334	1875540.109
335	1872104.315
336	1871754.256
337	1870667.001
338	1869443.475
339	1867604.956
340	1866377.675
341	1865584.088
342	1864433.475
343	1862929.35
344	1861808.19
345	1859303.603
346	1858629.496
347	1856467.576
348	1855647.819
349	1854013.284
350	1853319.359
351	1851147.02
352	1849510.612
353	1848842.561
354	1846154.364
355	1844278.394
356	1843448.487
357	1843045.833
358	1840411.453
359	1837158.105
360	1835461.557
361	1834398.466
362	1833603.403
363	1832031.359
364	1831334.515
365	1829430.147
366	1827105.153
367	1824943.218
368	1823381.972
369	1821633.55
370	1819597.511
371	1817807.803
372	1817242.837
373	1817005.973
374	1814840.716
375	1814040.864
376	1812391.482
377	1811490.79
378	1810659.06
379	1808208.65
380	1807277.929
381	1806490.351
382	1805576.87
383	1802960.239
384	1801665.838
385	1800944.53
386	1800161.636
387	1798757.596
388	1797751.511
389	1796670.669
390	1795737.252
391	1793467.627
392	1793255.533
393	1792363.411
394	1789660.328
395	1787705.485
396	1787095.785
397	1785530.851
398	1784072.374
399	1782156.052
400	1780994.14
401	1779872.629
402	1778700.779
403	1776826.29
404	1776161.015
405	1774894.066
406	1774135.158
407	1773091.467
408	1770176.809
409	1768898.76
410	1768361.845
411	1766301.509
412	1764003.276
413	1763101.837
414	1761102.017
415	1759736.226
416	1758928.773
417	1756895.667
418	1754822.426
419	1754015.731
420	1753073.895
421	1752021.726
422	1750586.088
423	1750379.916
424	1749728.738
425	1748532.114
426	1747490.116
427	1746645.408
428	1745568.027
429	1744719.224
430	1743822.67
431	1742583.718
432	1741481.38
433	1740613.41
434	1739587.498
435	1739109.293
436	1738506.037
437	1737097.478
438	1736369.482
439	1734355.693
440	1733294.833
441	1732743.708
442	1731597.044
443	1730867.766
444	1730420.395
445	1729837.922
446	1728407.591
447	1726869.272
448	1726368.774
449	1725060.762
450	1724298.862
451	1721774.914
452	1721093.95
453	1720151.474
454	1718725.283
455	1717520.593
456	1716458.474
457	1715814.467
458	1714366.896
459	1713386.697
460	1711681.55
461	1710588.239
462	1709582.944
463	1709044.959
464	1707629.363
465	1705108.122
466	1703623.841
467	1702336.554
468	1701816.044
469	1701026.269
470	1700864.732
471	1699960.178
472	1699285.98
473	1697186.618
474	1696666.762
475	1696270.282
476	1695165.823
477	1693891.711
478	1693196.661
479	1692017.972
480	1690868.362
481	1689942.218
482	1688548.904
483	1687507.594
484	1686460.912
485	1685604.946
486	1684029.663
487	1683539.555
488	1681926.796
489	1681412.206
490	1681296.625
491	1680436.374
492	1680324.481
493	1679947.989
494	1678747.011
495	1678205.663
496	1676986.28
497	1676164.566
498	1675503.625
499	1675373.431
500	1674093.165
501	1673170.519
502	1672265.412
503	1669908.969
504	1668908.358
505	1668538.009
506	1668043.201
507	1667573.44
508	1666193.758
509	1665609.88
510	1664343.704
511	1663914.153
512	1663281.407
513	1662598.855
514	1661593.889
515	1659986.352
516	1659271.593
517	1658496.255
518	1657305.161
519	1656483.926
520	1656268.366
521	1655578.274
522	1655106.84
523	1654217.324
524	1653459.037
525	1652628.497
526	1651982.825
527	1651193.865
528	1650095.427
529	1649504.793
530	1648948.804
531	1648597.272
532	1647806.61
533	1647388.749
534	1646402.838
535	1645247.611
536	1644890.03
537	1642678.427
538	1641998.727
539	1640662.622
540	1639867.349
541	1639056.228
542	1638403.542
543	1638343.671
544	1637869.025
545	1636826.121
546	1636579.816
547	1635248.394
548	1633867.83
549	1631955.695
550	1631852.125
551	1631797.179
552	1631095.137
553	1630587.419
554	1629835.382
555	1628482.345
556	1627744.625
557	1626544.384
558	1625320.864
559	1624723.89
560	1623107.333
561	1622710.479
562	1622031.123
563	1621538.643
564	1620595.485
565	1620062.209
566	1619300.85
567	1618642.115
568	1617328.03
569	1617165.094
570	1616679.791
571	1616626.726
572	1616208.914
573	1615519.719
574	1613959.928
575	1613526.104
576	1613004.951
577	1610831.232
578	1610078.72
579	1609722.545
580	1609264.495
581	1608856.906
582	1607581.244
583	1606852.063
584	1606347.071
585	1605985.3
586	1605385.981
587	1604678.227
588	1603465.656
589	1602357.669
590	1602053.202
591	1601671.633
592	1600789.537
593	1600737.823
594	1600302.394
595	1600252.949
596	1599169.828
597	1598501.926
598	1597360.936
599	1596228.669
600	1595543.755
601	1594156.398
602	1593314.416
603	1591382.852
604	1590380.576
605	1589361.943
606	1588194.514
607	1587601.971
608	1586370.02
609	1585495.244
610	1584725.65
611	1584005.866
612	1583666.417
613	1583164.9
614	1582502.974
615	1581894.331
616	1581845.971
617	1581168.13
618	1579249.091
619	1578958.912
620	1578636.327
621	1578589.318
622	1577551.815
623	1577103.899
624	1576925.557
625	1576239.073
626	1575153.942
627	1574571.487
628	1573881.734
629	1573646.254
630	1573013.843
631	1572895.143
632	1572011.028
633	1570668.677
634	1569849.635
635	1568976.223
636	1568932.168
637	1568187.003
638	1567688.942
639	1567078.61
640	1566024.232
641	1564268.122
642	1564239.406
643	1563300.919
644	1563051.846
645	1562175.881
646	1562067.556
647	1561621.32
648	1561248.674
649	1560666.97
650	1560628.832
651	1559720.856
652	1559412.687
653	1558723.203
654	1558158.082
655	1556946.179
656	1556623.928
657	1556522.282
658	1555675.031
659	1554908.893
660	1554515.27
661	1553710.171
662	1553377.758
663	1552365.533
664	1550635.654
665	1549594.788
666	1549051.343
667	1547861.099
668	1547271.288
669	1546627.984
670	1546593.82
671	1546020.552
672	1545698.859
673	1545605.408
674	1544672.738
675	1543983.907
676	1543630.083
677	1543290.99
678	1542338.008
679	1541014.715
680	1540187.469
681	1539954.607
682	1539058.419
683	1539024.277
684	1538727.425
685	1537905.11
686	1537814.507
687	1537727.131
688	1537373.929
689	1536789.909
690	1536757.819
691	1535172.968
692	1535151.77
693	1534677.483
694	1534439.884
695	1534033.545
696	1533819.237
697	1533211.765
698	1531867.076
699	1530866.632
700	1530602.331
701	1530519.054
702	1530102.143
703	1529356.07
704	1528601.411
705	1527469.369
706	1526595.366
707	1525423.302
708	1524561.74
709	1523981.211
710	1523266.128
711	1522419.838
712	1521343.145
713	1520608.649
714	1520082.938
715	1519791.176
716	1519414.555
717	1519130.438
718	1518526.738
719	1517697.887
720	1517167.542
721	1516897.869
722	1516162.478
723	1514988.889
724	1514719.136
725	1513716.63
726	1512159.995
727	1511354.432
728	1511153.169
729	1509874.51
730	1509012.358
731	1507505.724
732	1506733.818
733	1505701.975
734	1504903.861
735	1504529.892
736	1504281.263
737	1503555.437
738	1502987.194
739	1501648.114
740	1501250.034
741	1501218.475
742	1500447.809
743	1499568.408
744	1499225.751
745	1497628.279
746	1496832.723
747	1494923.198
748	1494695.307
749	1493678.309
750	1492598.009
751	1491654.137
752	1491159.482
753	1490311.725
754	1489506.892
755	1488458.772
756	1487471.651
757	1486708.778
758	1485510.526
759	1485240.332
760	1485163.18
761	1484618.533
762	1483861.689
763	1482754.675
764	1481567.646
765	1480126.096
766	1479303.307
767	1478833.671
768	1477639.45
769	1477053.004
770	1476543.259
771	1475914.709
772	1475404.413
773	1475160.523
774	1474668.387
775	1474045.85
776	1473463.415
777	1472768.362
778	1472053.463
779	1471613.554
780	1471400.556
781	1470922.985
782	1469535.282
783	1468691.267
784	1468241.154
785	1467345.716
786	1466240.894
787	1465678.177
788	1464925.624
789	1464514.091
790	1463817.529
791	1463227.241
792	1462769.774
793	1462071.873
794	1461216.008
795	1460077.288
796	1460008.155
797	1459550.664
798	1459030.557
799	1458200.071
800	1457565.83
801	1456635.83
802	1456022.277
803	1454967.546
804	1454095.919
805	1453445.9
806	1452437.93
807	1452163.388
808	1451765.292
809	1451052.493
810	1450365.065
811	1449638.225
812	1449618.615
813	1448813.135
814	1448406.354
815	1447261.442
816	1446864.946
817	1445894.624
818	1445867.324
819	1445730.981
820	1445273.609
821	1444455.963
822	1443420.119
823	1443337.447
824	1443310.252
825	1441859.428
826	1441287.715
827	1441270.083
828	1441019.483
829	1440496.109
830	1440114.288
831	1440097.052
832	1439038.518
833	1437643.624
834	1436793.567
835	1436012.452
836	1435472.63
837	1434697.294
838	1434120.52
839	1433367.988
840	1433132.113
841	1433108.503
842	1432309.768
843	1431205.371
844	1430614.176
845	1429759.493
846	1428468.73
847	1427678.074
848	1426971.112
849	1426421.816
850	1426006.552
851	1425417.944
852	1425394.168
853	1424960.304
854	1424725.766
855	1424226.763
856	1423770.436
857	1423748.061
858	1423197.701
859	1422740.416
860	1422718.642
861	1421623.876
862	1421601.732
863	1421484.41
864	1420652.708
865	1420281.385
866	1418657.704
867	1417972.395
868	1417639.103
869	1416944.826
870	1416924.282
871	1416184.107
872	1415736.827
873	1414964.549
874	1414886.766
875	1414263.33
876	1413853.32
877	1413210.967
878	1412684.591
879	1411971.908
880	1411430.023
881	1410724.492
882	1410185.734
883	1409708.033
884	1409120.435
885	1407564.84
886	1406614.781
887	1406076.528
888	1405622.108
889	1405314.175
890	1404965.544
891	1404944.977
892	1404499.592
893	1403777.954
894	1403030.644
895	1402572.86
896	1402557.322
897	1402164.949
898	1401708.166
899	1401431.535
900	1400655.514
901	1399246.356
902	1398726.325
903	1398372.679
904	1397289.235
905	1397269.062
906	1396703.457
907	1396144.185
908	1395666.478
909	1395646.926
910	1395242.154
911	1394343.928
912	1393581.505
913	1392649.431
914	1392388.575
915	1391968.064
916	1391949.045
917	1391410.227
918	1391397.064
919	1390434.659
920	1389557.479
921	1389531.468
922	1388861.845
923	1387845.49
924	1387088.795
925	1386953.645
926	1386117.284
927	1385432.662
928	1384892.969
929	1384383.433
930	1382843.598
931	1382045.262
932	1381739.054
933	1381191.882
934	1380390.049
935	1380371.74
936	1379794.072
937	1379253.31
938	1378851.136
939	1378315.204
940	1378009.692
941	1377122.268
942	1376532.874
943	1375613.06
944	1374830.224
945	1373837.632
946	1373454.569
947	1373436.943
948	1372900.798
949	1371670.387
950	1370633.685
951	1369802.018
952	1369110.664
953	1368569.856
954	1368224.566
955	1367706.073
956	1367426.297
957	1366592.532
958	1366227.648
959	1365836.648
960	1365457.731
961	1364670.608
962	1364655.342
963	1364144.929
964	1364126.866
965	1363330.461
966	1362758.509
967	1362327.228
968	1361966.588
969	1361689.813
970	1361038.611
971	1360697.089
972	1359737.466
973	1359176.865
974	1358506.799
975	1357967.86
976	1357450.85
977	1356940.651
978	1356400.523
979	1356083.146
980	1355343.69
981	1354860.717
982	1354472.332
983	1354025.754
984	1353253.933
985	1352389.714
986	1352176.608
987	1351606.836
988	1351227.757
989	1350263.074
990	1349791.896
991	1349367.638
992	1349350.891
993	1349162.338
994	1348039.723
995	1347509.436
996	1346997.474
997	1346406.717
998	1345984.04
999	1345662.628
